confidence	sample	iteration	decoder	noise	low_confidence
99	SRR6750044	first	1	58599995	8005082
99	SRR6750044	second	1	58607991	10106290
99	SRR6750044	first	2	32900151	8319490
99	SRR6750044	second	2	32900957	8993264
99	SRR6750044	first	3	15491660	9384699
99	SRR6750044	second	3	15491949	9517598
99	SRR6750045	first	1	44214808	7040712
99	SRR6750045	second	1	44223128	8788480
99	SRR6750045	first	2	25033340	6918826
99	SRR6750045	second	2	25033851	7226040
99	SRR6750045	first	3	12713913	8433415
99	SRR6750045	second	3	12714211	8548213
99	SRR6750046	first	1	45557194	7091974
99	SRR6750046	second	1	45565939	8843256
99	SRR6750046	first	2	25235459	6855711
99	SRR6750046	second	2	25236031	7132038
99	SRR6750046	first	3	12541174	8421301
99	SRR6750046	second	3	12541382	8526824
99	SRR6750047	first	1	39899720	6989867
99	SRR6750047	second	1	39906861	8569886
99	SRR6750047	first	2	22212690	6685674
99	SRR6750047	second	2	22213393	6908839
99	SRR6750047	first	3	11090632	8328708
99	SRR6750047	second	3	11090889	8430516
99	SRR6750048	first	1	49494293	7257607
99	SRR6750048	second	1	49501629	9124842
99	SRR6750048	first	2	27357319	7245826
99	SRR6750048	second	2	27357909	7601357
99	SRR6750048	first	3	12890128	8356736
99	SRR6750048	second	3	12890387	8469431
99	SRR6750049	first	1	46456015	6228402
99	SRR6750049	second	1	46462706	8004917
99	SRR6750049	first	2	27164613	6193230
99	SRR6750049	second	2	27165286	6636994
99	SRR6750049	first	3	13267381	7162356
99	SRR6750049	second	3	13267552	7265286
99	SRR6750050	first	1	72347765	9225223
99	SRR6750050	second	1	72359643	11769621
99	SRR6750050	first	2	41604451	10189052
99	SRR6750050	second	2	41605288	11552580
99	SRR6750050	first	3	19802575	10532894
99	SRR6750050	second	3	19803350	10702375
99	SRR6750051	first	1	58771089	7851188
99	SRR6750051	second	1	58778786	9857591
99	SRR6750051	first	2	33345873	8485644
99	SRR6750051	second	2	33346465	9205552
